,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
"45,4","-85,71","-27,69","9,23",
"45,6","-92,31","-27,69","9,23",
"45,8","-98,90","-27,69","9,23",
46,"-88,35","-32,97","9,23",
"46,2","-96,26","-34,29","9,23",
"46,4","-96,26","-35,60","9,23",
"46,6","-98,90","-38,24","9,23",
"46,8","-100,22","-38,24","9,23",
47,"-105,49","-38,24","9,23",
"47,2","-105,49","-38,24","9,23",
"47,4","-109,45","-38,24","9,23",
"47,6","-109,45","-39,56","9,23",
"47,8","-112,09","-39,56","9,23",
48,"-116,04","-40,88","9,23",
"48,2","-121,32","-43,52","9,23",
"48,4","-125,27","-44,84","9,23",
"48,6","-127,91","-46,15","9,23",
"48,8","-129,23","-46,15","9,23",
49,"-131,87","-48,79","9,23",
"49,2","-131,87","-48,79","9,23",
"49,4","-131,87","-47,47","7,91",
"49,6","-131,87","-48,79","3,96",
"49,8","-137,14","-50,11","-2,64",
50,"-138,46","-51,43","1,32",
"50,2","-139,78","-51,43","1,32",
"50,4","-142,42","-51,43","1,32",
"50,6","-142,42","-54,07","0,00",
"50,8","-145,05","-61,98","-5,27",
51,"-147,69","-61,98","-5,27",
"51,2","-150,33","-61,98","-2,64",
"51,4","-152,97","-61,98","-6,59",
"51,6","-156,92","-61,98","-15,82",
"51,8","-163,52","-63,30","-13,19",
52,"-167,47","-64,62","-13,19",
"52,2","-167,47","-71,21","-9,23",
"52,4","-171,43","-71,21","-9,23",
"52,6","-174,07","-76,48","-13,19",
"52,8","-178,02","-73,85","-14,51",
53,"-185,93","-73,85","-15,82",
"53,2","-187,25","-72,53","-15,82",
"53,4","-187,25","-73,85","-17,14",
"53,6","-187,25","-73,85","-15,82",
"53,8","-204,40","-75,16","-15,82",
54,"-192,53","-80,44","-17,14",
"54,2","-196,48","-85,71","-18,46",
"54,4","-205,71","-85,71","-25,05",
"54,6","-209,67","-88,35","-40,88",
"54,8","-208,35","-96,26","-51,43",
55,"-212,31","-93,63","-54,07",
"55,2","-212,31","-94,95","-58,02",
"55,4","-213,63","-94,95","-59,34",
"55,6","-220,22","-94,95","-60,66",
"55,8","-224,18","-94,95","-65,93",
56,"-224,18","-97,58","-65,93",
"56,2","-225,49","-104,18","-69,89",
"56,4","-229,45","-104,18","-73,85",
"56,6","-232,09","-105,49","-75,16",
"56,8","-234,73","-109,45","-76,48",
57,"-236,04","-109,45","-76,48",
"57,2","-238,68","-110,77","-76,48",
"57,4","-243,96","-112,09","-83,08",
"57,6","-249,23","-118,68","-83,08",
"57,8","-251,87","-122,64","-83,08",
58,"-258,46","-123,96","-84,40",
"58,2","-262,42","-126,59","-84,40",
"58,4","-263,74","-130,55","-90,99",
"58,6","-269,01","-135,82","-90,99",
"58,8","-272,97","-139,78","-90,99",
59,"-279,56","-139,78","-93,63",
"59,2","-288,79","-143,74","-93,63",
"59,4","-290,11","-147,69","-97,58",
"59,6","-296,70","-150,33","-97,58",
"59,8","-298,02","-156,92","-100,22",
60,"-304,62","-158,24","-100,22",
"60,2","-307,25","-156,92","-100,22",
"60,4","-311,21","-159,56","-100,22",
"60,6","-311,21","-170,11","-98,90",
"60,8","-313,85","-170,11","-96,26",
61,"-321,76","-176,70","-94,95",
"61,2","-341,54","-181,98","-97,58",
"61,4","-341,54","-188,57","-98,90",
"61,6","-349,45","-195,16","-104,18",
"61,8","-355,65","-199,12","-104,18",
62,"-361,85","-204,40","-104,18",
"62,2","-368,05","-207,03","-108,13",
"62,4","-374,25","-221,54","-114,73",
"62,6","-380,45","-226,14","-118,68",
"62,8","-386,65","-230,74","-122,64",
63,"-392,85","-235,34","-130,55",
"63,2","-399,05","-239,94","-130,55",
"63,4","-405,25","-244,54","-130,55",
