,Σώμα_B,Σώμα_C,Σώμα_D,,,,,,,,,,,,,Υ-axis
t,y,y,y,,,,,,,,,,,,,
35,"-204,40","-146,37","-48,79",,,,,,,,,,,,,
"35,2","-221,54","-149,01","-50,11",,,,,,,,,,,,,
"35,4","-234,73","-150,33","-58,02",,,,,,,,,,,,,
"35,6","-247,91","-158,24","-58,02",,,,,,,,,,,,,
"35,8","-253,19","-156,92","-58,02",,,,,,,,,,,,,
36,"-259,78","-160,88","-65,93",,,,,,,,,,,,,
"36,2","-269,01","-167,47","-65,93",,,,,,,,,,,,,
"36,4","-272,97","-171,43","-67,25",,,,,,,,,,,,,
"36,6","-277,07","-178,02","-67,25",,,,,,,,,,,,,
"36,8","-281,17","-181,98","-67,25",,,,,,,,,,,,,
37,"-285,27","-187,25","-67,25",,,,,,,,,,,,,
"37,2","-289,37","-207,03","-67,25",,,,,,,,,,,,,
"37,4","-293,47","-207,03","-77,80",,,,,,,,,,,,,
"37,6","-297,57","-201,76","-77,80",,,,,,,,,,,,,
"37,8","-301,67","-208,35","-79,12",,,,,,,,,,,,,
38,"-305,77","-214,95","-84,40",,,,,,,,,,,,,
"38,2","-309,87","-222,86","-85,71",,,,,,,,,,,,,
"38,4","-313,97","-230,77","-94,95",,,,,,,,,,,,,
"38,6","-318,07","-230,77","-94,95",,,,,,,,,,,,,
"38,8","-322,17","-234,73","-100,22",,,,,,,,,,,,,
39,"-326,27","-238,68","-100,22",,,,,,,,,,,,,
"39,2","-330,37","-243,96","-100,22",,,,,,,,,,,,,
"39,4","-334,47","-258,46","-102,86",,,,,,,,,,,,,
"39,6","-338,57","-269,01","-113,41",,,,,,,,,,,,,
"39,8","-342,67","-269,01","-117,36",,,,,,,,,,,,,
40,"-346,77","-282,20","-118,68",,,,,,,,,,,,,
"40,2","-350,87","-300,66","-118,68",,,,,,,,,,,,,
"40,4","-354,97","-304,62","-123,96",,,,,,,,,,,,,
"40,6","-359,07","-311,21","-122,64",,,,,,,,,,,,,
"40,8","-363,17","-313,85","-123,96",,,,,,,,,,,,,
41,"-367,27","-323,08","-130,55",,,,,,,,,,,,,
"41,2","-371,37","-334,95","-134,51",,,,,,,,,,,,,
"41,4","-375,47","-342,86","-138,46",,,,,,,,,,,,,
"41,6","-379,57","-346,26","-142,42",,,,,,,,,,,,,
"41,8","-383,67","-349,66","-143,74",,,,,,,,,,,,,
42,"-387,77","-353,06","-145,05",,,,,,,,,,,,,
"42,2","-391,87","-356,46","-146,37",,,,,,,,,,,,,
"42,4","-395,97","-359,86","-149,01",,,,,,,,,,,,,
"42,6","-400,07","-363,26","-152,97",,,,,,,,,,,,,
"42,8","-404,17","-366,66","-160,88",,,,,,,,,,,,,
43,"-408,27","-370,06","-160,88",,,,,,,,,,,,,
"43,2","-412,37","-373,46","-162,20",,,,,,,,,,,,,
"43,4","-416,47","-376,86","-163,52",,,,,,,,,,,,,
"43,6","-420,57","-380,26","-168,79",,,,,,,,,,,,,
"43,8","-424,67","-383,66","-168,79",,,,,,,,,,,,,
